,AATS7dv,AATS8dv,AATS7d,AATS8d,AATS7s,AATS8s,AATS7Z,AATS8Z,AATS7m,AATS8m,AATS7v,AATS8v,AATS7se,AATS8se,AATS7pe,AATS8pe,AATS7are,AATS8are,AATS7p,AATS8p,AATS7i,AATS8i,AATSC7c,AATSC8c,AATSC7dv,AATSC8dv,AATSC7d,AATSC8d,AATSC7s,AATSC8s,AATSC7Z,AATSC8Z,AATSC7m,AATSC8m,AATSC7v,AATSC8v,AATSC7se,AATSC8se,AATSC7pe,AATSC8pe,AATSC7are,AATSC8are,AATSC7p,AATSC8p,AATSC7i,AATSC8i,MATS7c,MATS8c,MATS7dv,MATS8dv,MATS7d,MATS8d,MATS7s,MATS8s,MATS7Z,MATS8Z,MATS7m,MATS8m,MATS7v,MATS8v,MATS7se,MATS8se,MATS7pe,MATS8pe,MATS7are,MATS8are,MATS7p,MATS8p,MATS7i,MATS8i,GATS7c,GATS8c,GATS7dv,GATS8dv,GATS7d,GATS8d,GATS7s,GATS8s,GATS7Z,GATS8Z,GATS7m,GATS8m,GATS7v,GATS8v,GATS7se,GATS8se,GATS7pe,GATS8pe,GATS7are,GATS8are,GATS7p,GATS8p,GATS7i,GATS8i,AXp-7d,AXp-7dv,MAXsCH3,MAXdCH2,MAXssCH2,MAXtCH,MAXdsCH,MAXaaCH,MAXsssCH,MAXtsC,MAXdssC,MAXaasC,MAXaaaC,MAXssssC,MAXsNH2,MAXdNH,MAXssNH,MAXaaNH,MAXtN,MAXdsN,MAXaaN,MAXsssN,MAXddsN,MAXaasN,MAXsOH,MAXdO,MAXssO,MAXsF,MAXdsssP,MAXsSH,MAXdS,MAXssS,MAXaaS,MAXdssS,MAXddssS,MAXsCl,MINsCH3,MINdCH2,MINssCH2,MINtCH,MINdsCH,MINaaCH,MINsssCH,MINtsC,MINdssC,MINaasC,MINaaaC,MINssssC,MINsNH2,MINdNH,MINssNH,MINaaNH,MINtN,MINdsN,MINaaN,MINsssN,MINddsN,MINaasN,MINsOH,MINdO,MINssO,MINsF,MINdsssP,MINsSH,MINdS,MINssS,MINaaS,MINdssS,MINddssS,MINsCl,MDEC-11,MDEC-12,MDEC-13,MDEC-14,MDEC-22,MDEC-23,MDEC-24,MDEC-33,MDEC-34,MDEC-44,MDEO-11,MDEO-12,MDEO-22,MDEN-11,MDEN-12,MDEN-13,MDEN-22,MDEN-23,MDEN-33
10,1.0434783,0.0,1.6521739,1.3,2.6811595,1.8,7.652174,3.2,22.348194,5.854464,102.97058,61.272594,7.4309535,7.113485,5.773848,5.3438,5.731304,5.324,0.8880387,0.65430784,167.22858,175.40578,-0.0032152368,0.0012879994,0.18464841,1.8271605,0.2506113,0.47009602,-0.2430833,-0.0751105,-0.037573807,3.293827,0.04820127,16.100473,7.9980226,35.21115,-0.010290779,-0.002847886,-0.016374396,0.0061644446,-0.017475994,0.0013388203,0.055024363,0.17086843,0.32805482,0.949111,-0.20687945,0.082874335,0.058883943,0.5826772,0.38871416,0.7291489,-0.2711441,-0.08378103,-0.006014779,0.5272727,0.001606538,0.5366253,0.15587212,0.6862242,-0.2654212,-0.073453076,-0.2505149,0.09431097,-0.2693446,0.020634249,0.2315104,0.7189146,0.24817212,0.71799856,2.243357,1.9569838,1.1749401,0.7984252,0.4545791,0.22404255,2.345431,1.5037743,1.3437876,0.9557312,1.3262038,0.9434879,1.0346606,0.7120486,2.4000823,1.4889607,2.1233764,1.4033488,2.2488005,1.4544609,0.9576284,0.61534554,0.9538188,0.59739244,0.027232451,0.006508436,2.043603,3.6616485,0.26144144,5.7031584,1.9945644,2.140034,-0.1735583,2.3046134,-0.6282613,0.35717875,1.2485185,-0.7991625,5.361124,7.5089192,2.9856875,2.8879864,8.861367,4.2469344,4.112668,1.5595049,-0.3722904,1.4612563,9.946009,10.590277,5.3233933,13.714866,-3.2779706,3.9343877,5.181239,1.5290194,1.6762037,-3.7053578,-3.9340117,5.698943,2.1385074,3.6616485,0.80568177,5.7031584,2.0142312,1.7656481,0.4935685,2.204695,0.22203049,0.35717875,0.93685186,-0.5582193,5.3763757,7.4410763,3.047827,2.6494548,8.858084,4.4203906,3.6930351,1.5719143,-0.37530187,1.4252534,9.946009,11.213259,5.1985855,13.36994,-3.189558,3.9343877,5.1821837,1.531772,1.6762037,-3.7053578,-3.8084173,5.731321,0.31401303,1.9229952,2.2479074,0.7639925,11.358851,23.719946,3.6163042,10.671281,2.3566833,0.35805556,0.22024117,0.34035364,0.94299424,0.372,0.9475238,0.43699747,0.620689,0.8515394,0.6792389
11,1.0434783,0.0,1.6521739,1.3,2.6811595,1.8,7.652174,3.2,22.348194,5.854464,102.97058,61.272594,7.4309535,7.113485,5.773848,5.3438,5.731304,5.324,0.8880387,0.65430784,167.22858,175.40578,-0.0032152368,0.0012879994,0.18464841,1.8271605,0.2506113,0.47009602,-0.2430833,-0.0751105,-0.037573807,3.293827,0.04820127,16.100473,7.9980226,35.21115,-0.010290779,-0.002847886,-0.016374396,0.0061644446,-0.017475994,0.0013388203,0.055024363,0.17086843,0.32805482,0.949111,-0.20687945,0.082874335,0.058883943,0.5826772,0.38871416,0.7291489,-0.2711441,-0.08378103,-0.006014779,0.5272727,0.001606538,0.5366253,0.15587212,0.6862242,-0.2654212,-0.073453076,-0.2505149,0.09431097,-0.2693446,0.020634249,0.2315104,0.7189146,0.24817212,0.71799856,2.243357,1.9569838,1.1749401,0.7984252,0.4545791,0.22404255,2.345431,1.5037743,1.3437876,0.9557312,1.3262038,0.9434879,1.0346606,0.7120486,2.4000823,1.4889607,2.1233764,1.4033488,2.2488005,1.4544609,0.9576284,0.61534554,0.9538188,0.59739244,0.027232451,0.006508436,2.043603,3.6616485,0.26144144,5.7031584,1.9945644,2.140034,-0.1735583,2.3046134,-0.6282613,0.35717875,1.2485185,-0.7991625,5.361124,7.5089192,2.9856875,2.8879864,8.861367,4.2469344,4.112668,1.5595049,-0.3722904,1.4612563,9.946009,10.590277,5.3233933,13.714866,-3.2779706,3.9343877,5.181239,1.5290194,1.6762037,-3.7053578,-3.9340117,5.698943,2.1385074,3.6616485,0.80568177,5.7031584,2.0142312,1.7656481,0.4935685,2.204695,0.22203049,0.35717875,0.93685186,-0.5582193,5.3763757,7.4410763,3.047827,2.6494548,8.858084,4.4203906,3.6930351,1.5719143,-0.37530187,1.4252534,9.946009,11.213259,5.1985855,13.36994,-3.189558,3.9343877,5.1821837,1.531772,1.6762037,-3.7053578,-3.8084173,5.731321,0.31401303,1.9229952,2.2479074,0.7639925,11.358851,23.719946,3.6163042,10.671281,2.3566833,0.35805556,0.22024117,0.34035364,0.94299424,0.372,0.9475238,0.43699747,0.620689,0.8515394,0.6792389
12,5.111111,2.7857144,2.0370371,1.4285715,5.111111,5.9761906,16.74074,11.857142,60.44294,37.31938,148.39157,107.659386,8.042448,8.540306,6.4902406,6.812857,6.461741,6.8552856,0.9940368,0.7272634,168.15134,176.88797,0.0033769018,-0.003754632,0.5804989,-3.0918367,0.081585415,0.41454083,-0.08379525,-2.069728,1.4058957,-3.1632652,6.8121066,-14.109557,10.834273,13.460652,-0.01675911,-0.070890106,-0.009405896,-0.113214284,-0.017440878,-0.1201287,0.023469362,0.14118284,0.18950203,0.9189894,0.3400416,-0.37807766,0.14931467,-0.79527557,0.12230012,0.6214149,-0.03310522,-0.8176932,0.22258122,-0.50080776,0.2264922,-0.4691213,0.23383224,0.29051644,-0.23053052,-0.9751313,-0.090842396,-1.0934266,-0.15580676,-1.0731606,0.10429128,0.62737703,0.12962247,0.62860376,1.0543163,2.4833827,1.281496,2.781496,0.77629066,0.41300192,1.9463606,4.332699,1.147819,2.1155088,1.1300049,2.0510986,0.877059,0.8326973,2.1263108,4.181004,1.9043905,3.911634,2.0109138,4.023189,0.9911068,0.5841472,1.0378383,0.5401443,0.026736915,0.0061946474,2.0636542,3.6616485,0.1616611,5.7031584,1.9158766,2.0654166,-0.1965213,2.3263152,-0.6377597,0.17199357,1.121387,-0.9498681,5.395318,7.5464687,2.821148,2.8899136,8.865031,4.176839,4.07523,1.2948292,-0.31361112,1.5195935,9.790123,11.152776,5.3655033,13.761499,-3.239882,3.9343877,5.181344,1.533419,1.6762037,-3.7053578,-4.035244,5.7103844,1.8901281,3.6616485,0.5839546,5.7031584,1.878914,1.5850925,0.40990606,2.1761303,-0.33115852,0.17199357,0.71462965,-0.5571804,5.3837233,7.465805,2.8290563,2.6615877,8.858992,4.239302,3.7139704,1.4155376,-0.31361112,1.4562613,9.880595,11.152776,5.2030983,13.347266,-3.1924188,3.9343877,5.1818686,1.5331644,1.6762037,-3.7053578,-3.8067293,5.774128,0.36521873,2.0239837,2.3746676,0.69765097,11.358851,23.719946,3.756611,10.671281,2.5086067,0.35555556,0.5,0.36632496,1.2174118,0.327,0.7884506,0.41949746,0.6931502,1.2686971,0.8668362
13,5.111111,2.7857144,2.0370371,1.4285715,5.111111,5.9761906,16.74074,11.857142,60.44294,37.31938,148.39157,107.659386,8.042448,8.540306,6.4902406,6.812857,6.461741,6.8552856,0.9940368,0.7272634,168.15134,176.88797,0.0033769018,-0.003754632,0.5804989,-3.0918367,0.081585415,0.41454083,-0.08379525,-2.069728,1.4058957,-3.1632652,6.8121066,-14.109557,10.834273,13.460652,-0.01675911,-0.070890106,-0.009405896,-0.113214284,-0.017440878,-0.1201287,0.023469362,0.14118284,0.18950203,0.9189894,0.3400416,-0.37807766,0.14931467,-0.79527557,0.12230012,0.6214149,-0.03310522,-0.8176932,0.22258122,-0.50080776,0.2264922,-0.4691213,0.23383224,0.29051644,-0.23053052,-0.9751313,-0.090842396,-1.0934266,-0.15580676,-1.0731606,0.10429128,0.62737703,0.12962247,0.62860376,1.0543163,2.4833827,1.281496,2.781496,0.77629066,0.41300192,1.9463606,4.332699,1.147819,2.1155088,1.1300049,2.0510986,0.877059,0.8326973,2.1263108,4.181004,1.9043905,3.911634,2.0109138,4.023189,0.9911068,0.5841472,1.0378383,0.5401443,0.026736915,0.0061946474,2.0636542,3.6616485,0.1616611,5.7031584,1.9158766,2.0654166,-0.1965213,2.3263152,-0.6377597,0.17199357,1.121387,-0.9498681,5.395318,7.5464687,2.821148,2.8899136,8.865031,4.176839,4.07523,1.2948292,-0.31361112,1.5195935,9.790123,11.152776,5.3655033,13.761499,-3.239882,3.9343877,5.181344,1.533419,1.6762037,-3.7053578,-4.035244,5.7103844,1.8901281,3.6616485,0.5839546,5.7031584,1.878914,1.5850925,0.40990606,2.1761303,-0.33115852,0.17199357,0.71462965,-0.5571804,5.3837233,7.465805,2.8290563,2.6615877,8.858992,4.239302,3.7139704,1.4155376,-0.31361112,1.4562613,9.880595,11.152776,5.2030983,13.347266,-3.1924188,3.9343877,5.1818686,1.5331644,1.6762037,-3.7053578,-3.8067293,5.774128,0.36521873,2.0239837,2.3746676,0.69765097,11.358851,23.719946,3.756611,10.671281,2.5086067,0.35555556,0.5,0.36632496,1.2174118,0.327,0.7884506,0.41949746,0.6931502,1.2686971,0.8668362
14,5.111111,2.7857144,2.0370371,1.4285715,5.111111,5.9761906,16.74074,11.857142,60.44294,37.31938,148.39157,107.659386,8.042448,8.540306,6.4902406,6.812857,6.461741,6.8552856,0.9940368,0.7272634,168.15134,176.88797,0.0033769018,-0.003754632,0.5804989,-3.0918367,0.081585415,0.41454083,-0.08379525,-2.069728,1.4058957,-3.1632652,6.8121066,-14.109557,10.834273,13.460652,-0.01675911,-0.070890106,-0.009405896,-0.113214284,-0.017440878,-0.1201287,0.023469362,0.14118284,0.18950203,0.9189894,0.3400416,-0.37807766,0.14931467,-0.79527557,0.12230012,0.6214149,-0.03310522,-0.8176932,0.22258122,-0.50080776,0.2264922,-0.4691213,0.23383224,0.29051644,-0.23053052,-0.9751313,-0.090842396,-1.0934266,-0.15580676,-1.0731606,0.10429128,0.62737703,0.12962247,0.62860376,1.0543163,2.4833827,1.281496,2.781496,0.77629066,0.41300192,1.9463606,4.332699,1.147819,2.1155088,1.1300049,2.0510986,0.877059,0.8326973,2.1263108,4.181004,1.9043905,3.911634,2.0109138,4.023189,0.9911068,0.5841472,1.0378383,0.5401443,0.026736915,0.0061946474,2.0636542,3.6616485,0.1616611,5.7031584,1.9158766,2.0654166,-0.1965213,2.3263152,-0.6377597,0.17199357,1.121387,-0.9498681,5.395318,7.5464687,2.821148,2.8899136,8.865031,4.176839,4.07523,1.2948292,-0.31361112,1.5195935,9.790123,11.152776,5.3655033,13.761499,-3.239882,3.9343877,5.181344,1.533419,1.6762037,-3.7053578,-4.035244,5.7103844,1.8901281,3.6616485,0.5839546,5.7031584,1.878914,1.5850925,0.40990606,2.1761303,-0.33115852,0.17199357,0.71462965,-0.5571804,5.3837233,7.465805,2.8290563,2.6615877,8.858992,4.239302,3.7139704,1.4155376,-0.31361112,1.4562613,9.880595,11.152776,5.2030983,13.347266,-3.1924188,3.9343877,5.1818686,1.5331644,1.6762037,-3.7053578,-3.8067293,5.774128,0.36521873,2.0239837,2.3746676,0.69765097,11.358851,23.719946,3.756611,10.671281,2.5086067,0.35555556,0.5,0.36632496,1.2174118,0.327,0.7884506,0.41949746,0.6931502,1.2686971,0.8668362
15,5.111111,2.7857144,2.0370371,1.4285715,5.111111,5.9761906,16.74074,11.857142,60.44294,37.31938,148.39157,107.659386,8.042448,8.540306,6.4902406,6.812857,6.461741,6.8552856,0.9940368,0.7272634,168.15134,176.88797,0.0033769018,-0.003754632,0.5804989,-3.0918367,0.081585415,0.41454083,-0.08379525,-2.069728,1.4058957,-3.1632652,6.8121066,-14.109557,10.834273,13.460652,-0.01675911,-0.070890106,-0.009405896,-0.113214284,-0.017440878,-0.1201287,0.023469362,0.14118284,0.18950203,0.9189894,0.3400416,-0.37807766,0.14931467,-0.79527557,0.12230012,0.6214149,-0.03310522,-0.8176932,0.22258122,-0.50080776,0.2264922,-0.4691213,0.23383224,0.29051644,-0.23053052,-0.9751313,-0.090842396,-1.0934266,-0.15580676,-1.0731606,0.10429128,0.62737703,0.12962247,0.62860376,1.0543163,2.4833827,1.281496,2.781496,0.77629066,0.41300192,1.9463606,4.332699,1.147819,2.1155088,1.1300049,2.0510986,0.877059,0.8326973,2.1263108,4.181004,1.9043905,3.911634,2.0109138,4.023189,0.9911068,0.5841472,1.0378383,0.5401443,0.026736915,0.0061946474,2.0636542,3.6616485,0.1616611,5.7031584,1.9158766,2.0654166,-0.1965213,2.3263152,-0.6377597,0.17199357,1.121387,-0.9498681,5.395318,7.5464687,2.821148,2.8899136,8.865031,4.176839,4.07523,1.2948292,-0.31361112,1.5195935,9.790123,11.152776,5.3655033,13.761499,-3.239882,3.9343877,5.181344,1.533419,1.6762037,-3.7053578,-4.035244,5.7103844,1.8901281,3.6616485,0.5839546,5.7031584,1.878914,1.5850925,0.40990606,2.1761303,-0.33115852,0.17199357,0.71462965,-0.5571804,5.3837233,7.465805,2.8290563,2.6615877,8.858992,4.239302,3.7139704,1.4155376,-0.31361112,1.4562613,9.880595,11.152776,5.2030983,13.347266,-3.1924188,3.9343877,5.1818686,1.5331644,1.6762037,-3.7053578,-3.8067293,5.774128,0.36521873,2.0239837,2.3746676,0.69765097,11.358851,23.719946,3.756611,10.671281,2.5086067,0.35555556,0.5,0.36632496,1.2174118,0.327,0.7884506,0.41949746,0.6931502,1.2686971,0.8668362
16,5.111111,2.7857144,2.0370371,1.4285715,5.111111,5.9761906,16.74074,11.857142,60.44294,37.31938,148.39157,107.659386,8.042448,8.540306,6.4902406,6.812857,6.461741,6.8552856,0.9940368,0.7272634,168.15134,176.88797,0.0033769018,-0.003754632,0.5804989,-3.0918367,0.081585415,0.41454083,-0.08379525,-2.069728,1.4058957,-3.1632652,6.8121066,-14.109557,10.834273,13.460652,-0.01675911,-0.070890106,-0.009405896,-0.113214284,-0.017440878,-0.1201287,0.023469362,0.14118284,0.18950203,0.9189894,0.3400416,-0.37807766,0.14931467,-0.79527557,0.12230012,0.6214149,-0.03310522,-0.8176932,0.22258122,-0.50080776,0.2264922,-0.4691213,0.23383224,0.29051644,-0.23053052,-0.9751313,-0.090842396,-1.0934266,-0.15580676,-1.0731606,0.10429128,0.62737703,0.12962247,0.62860376,1.0543163,2.4833827,1.281496,2.781496,0.77629066,0.41300192,1.9463606,4.332699,1.147819,2.1155088,1.1300049,2.0510986,0.877059,0.8326973,2.1263108,4.181004,1.9043905,3.911634,2.0109138,4.023189,0.9911068,0.5841472,1.0378383,0.5401443,0.026736915,0.0061946474,2.0636542,3.6616485,0.1616611,5.7031584,1.9158766,2.0654166,-0.1965213,2.3263152,-0.6377597,0.17199357,1.121387,-0.9498681,5.395318,7.5464687,2.821148,2.8899136,8.865031,4.176839,4.07523,1.2948292,-0.31361112,1.5195935,9.790123,11.152776,5.3655033,13.761499,-3.239882,3.9343877,5.181344,1.533419,1.6762037,-3.7053578,-4.035244,5.7103844,1.8901281,3.6616485,0.5839546,5.7031584,1.878914,1.5850925,0.40990606,2.1761303,-0.33115852,0.17199357,0.71462965,-0.5571804,5.3837233,7.465805,2.8290563,2.6615877,8.858992,4.239302,3.7139704,1.4155376,-0.31361112,1.4562613,9.880595,11.152776,5.2030983,13.347266,-3.1924188,3.9343877,5.1818686,1.5331644,1.6762037,-3.7053578,-3.8067293,5.774128,0.36521873,2.0239837,2.3746676,0.69765097,11.358851,23.719946,3.756611,10.671281,2.5086067,0.35555556,0.5,0.36632496,1.2174118,0.327,0.7884506,0.41949746,0.6931502,1.2686971,0.8668362
17,5.111111,2.7857144,2.0370371,1.4285715,5.111111,5.9761906,16.74074,11.857142,60.44294,37.31938,148.39157,107.659386,8.042448,8.540306,6.4902406,6.812857,6.461741,6.8552856,0.9940368,0.7272634,168.15134,176.88797,0.0033769018,-0.003754632,0.5804989,-3.0918367,0.081585415,0.41454083,-0.08379525,-2.069728,1.4058957,-3.1632652,6.8121066,-14.109557,10.834273,13.460652,-0.01675911,-0.070890106,-0.009405896,-0.113214284,-0.017440878,-0.1201287,0.023469362,0.14118284,0.18950203,0.9189894,0.3400416,-0.37807766,0.14931467,-0.79527557,0.12230012,0.6214149,-0.03310522,-0.8176932,0.22258122,-0.50080776,0.2264922,-0.4691213,0.23383224,0.29051644,-0.23053052,-0.9751313,-0.090842396,-1.0934266,-0.15580676,-1.0731606,0.10429128,0.62737703,0.12962247,0.62860376,1.0543163,2.4833827,1.281496,2.781496,0.77629066,0.41300192,1.9463606,4.332699,1.147819,2.1155088,1.1300049,2.0510986,0.877059,0.8326973,2.1263108,4.181004,1.9043905,3.911634,2.0109138,4.023189,0.9911068,0.5841472,1.0378383,0.5401443,0.026736915,0.0061946474,2.0636542,3.6616485,0.1616611,5.7031584,1.9158766,2.0654166,-0.1965213,2.3263152,-0.6377597,0.17199357,1.121387,-0.9498681,5.395318,7.5464687,2.821148,2.8899136,8.865031,4.176839,4.07523,1.2948292,-0.31361112,1.5195935,9.790123,11.152776,5.3655033,13.761499,-3.239882,3.9343877,5.181344,1.533419,1.6762037,-3.7053578,-4.035244,5.7103844,1.8901281,3.6616485,0.5839546,5.7031584,1.878914,1.5850925,0.40990606,2.1761303,-0.33115852,0.17199357,0.71462965,-0.5571804,5.3837233,7.465805,2.8290563,2.6615877,8.858992,4.239302,3.7139704,1.4155376,-0.31361112,1.4562613,9.880595,11.152776,5.2030983,13.347266,-3.1924188,3.9343877,5.1818686,1.5331644,1.6762037,-3.7053578,-3.8067293,5.774128,0.36521873,2.0239837,2.3746676,0.69765097,11.358851,23.719946,3.756611,10.671281,2.5086067,0.35555556,0.5,0.36632496,1.2174118,0.327,0.7884506,0.41949746,0.6931502,1.2686971,0.8668362
18,5.111111,2.7857144,2.0370371,1.4285715,5.111111,5.9761906,16.74074,11.857142,60.44294,37.31938,148.39157,107.659386,8.042448,8.540306,6.4902406,6.812857,6.461741,6.8552856,0.9940368,0.7272634,168.15134,176.88797,0.0033769018,-0.003754632,0.5804989,-3.0918367,0.081585415,0.41454083,-0.08379525,-2.069728,1.4058957,-3.1632652,6.8121066,-14.109557,10.834273,13.460652,-0.01675911,-0.070890106,-0.009405896,-0.113214284,-0.017440878,-0.1201287,0.023469362,0.14118284,0.18950203,0.9189894,0.3400416,-0.37807766,0.14931467,-0.79527557,0.12230012,0.6214149,-0.03310522,-0.8176932,0.22258122,-0.50080776,0.2264922,-0.4691213,0.23383224,0.29051644,-0.23053052,-0.9751313,-0.090842396,-1.0934266,-0.15580676,-1.0731606,0.10429128,0.62737703,0.12962247,0.62860376,1.0543163,2.4833827,1.281496,2.781496,0.77629066,0.41300192,1.9463606,4.332699,1.147819,2.1155088,1.1300049,2.0510986,0.877059,0.8326973,2.1263108,4.181004,1.9043905,3.911634,2.0109138,4.023189,0.9911068,0.5841472,1.0378383,0.5401443,0.026736915,0.0061946474,2.0636542,3.6616485,0.1616611,5.7031584,1.9158766,2.0654166,-0.1965213,2.3263152,-0.6377597,0.17199357,1.121387,-0.9498681,5.395318,7.5464687,2.821148,2.8899136,8.865031,4.176839,4.07523,1.2948292,-0.31361112,1.5195935,9.790123,11.152776,5.3655033,13.761499,-3.239882,3.9343877,5.181344,1.533419,1.6762037,-3.7053578,-4.035244,5.7103844,1.8901281,3.6616485,0.5839546,5.7031584,1.878914,1.5850925,0.40990606,2.1761303,-0.33115852,0.17199357,0.71462965,-0.5571804,5.3837233,7.465805,2.8290563,2.6615877,8.858992,4.239302,3.7139704,1.4155376,-0.31361112,1.4562613,9.880595,11.152776,5.2030983,13.347266,-3.1924188,3.9343877,5.1818686,1.5331644,1.6762037,-3.7053578,-3.8067293,5.774128,0.36521873,2.0239837,2.3746676,0.69765097,11.358851,23.719946,3.756611,10.671281,2.5086067,0.35555556,0.5,0.36632496,1.2174118,0.327,0.7884506,0.41949746,0.6931502,1.2686971,0.8668362
19,5.111111,2.7857144,2.0370371,1.4285715,5.111111,5.9761906,16.74074,11.857142,60.44294,37.31938,148.39157,107.659386,8.042448,8.540306,6.4902406,6.812857,6.461741,6.8552856,0.9940368,0.7272634,168.15134,176.88797,0.0033769018,-0.003754632,0.5804989,-3.0918367,0.081585415,0.41454083,-0.08379525,-2.069728,1.4058957,-3.1632652,6.8121066,-14.109557,10.834273,13.460652,-0.01675911,-0.070890106,-0.009405896,-0.113214284,-0.017440878,-0.1201287,0.023469362,0.14118284,0.18950203,0.9189894,0.3400416,-0.37807766,0.14931467,-0.79527557,0.12230012,0.6214149,-0.03310522,-0.8176932,0.22258122,-0.50080776,0.2264922,-0.4691213,0.23383224,0.29051644,-0.23053052,-0.9751313,-0.090842396,-1.0934266,-0.15580676,-1.0731606,0.10429128,0.62737703,0.12962247,0.62860376,1.0543163,2.4833827,1.281496,2.781496,0.77629066,0.41300192,1.9463606,4.332699,1.147819,2.1155088,1.1300049,2.0510986,0.877059,0.8326973,2.1263108,4.181004,1.9043905,3.911634,2.0109138,4.023189,0.9911068,0.5841472,1.0378383,0.5401443,0.026736915,0.0061946474,2.0636542,3.6616485,0.1616611,5.7031584,1.9158766,2.0654166,-0.1965213,2.3263152,-0.6377597,0.17199357,1.121387,-0.9498681,5.395318,7.5464687,2.821148,2.8899136,8.865031,4.176839,4.07523,1.2948292,-0.31361112,1.5195935,9.790123,11.152776,5.3655033,13.761499,-3.239882,3.9343877,5.181344,1.533419,1.6762037,-3.7053578,-4.035244,5.7103844,1.8901281,3.6616485,0.5839546,5.7031584,1.878914,1.5850925,0.40990606,2.1761303,-0.33115852,0.17199357,0.71462965,-0.5571804,5.3837233,7.465805,2.8290563,2.6615877,8.858992,4.239302,3.7139704,1.4155376,-0.31361112,1.4562613,9.880595,11.152776,5.2030983,13.347266,-3.1924188,3.9343877,5.1818686,1.5331644,1.6762037,-3.7053578,-3.8067293,5.774128,0.36521873,2.0239837,2.3746676,0.69765097,11.358851,23.719946,3.756611,10.671281,2.5086067,0.35555556,0.5,0.36632496,1.2174118,0.327,0.7884506,0.41949746,0.6931502,1.2686971,0.8668362
20,5.111111,2.7857144,2.0370371,1.4285715,5.111111,5.9761906,16.74074,11.857142,60.44294,37.31938,148.39157,107.659386,8.042448,8.540306,6.4902406,6.812857,6.461741,6.8552856,0.9940368,0.7272634,168.15134,176.88797,0.0033769018,-0.003754632,0.5804989,-3.0918367,0.081585415,0.41454083,-0.08379525,-2.069728,1.4058957,-3.1632652,6.8121066,-14.109557,10.834273,13.460652,-0.01675911,-0.070890106,-0.009405896,-0.113214284,-0.017440878,-0.1201287,0.023469362,0.14118284,0.18950203,0.9189894,0.3400416,-0.37807766,0.14931467,-0.79527557,0.12230012,0.6214149,-0.03310522,-0.8176932,0.22258122,-0.50080776,0.2264922,-0.4691213,0.23383224,0.29051644,-0.23053052,-0.9751313,-0.090842396,-1.0934266,-0.15580676,-1.0731606,0.10429128,0.62737703,0.12962247,0.62860376,1.0543163,2.4833827,1.281496,2.781496,0.77629066,0.41300192,1.9463606,4.332699,1.147819,2.1155088,1.1300049,2.0510986,0.877059,0.8326973,2.1263108,4.181004,1.9043905,3.911634,2.0109138,4.023189,0.9911068,0.5841472,1.0378383,0.5401443,0.026736915,0.0061946474,2.0636542,3.6616485,0.1616611,5.7031584,1.9158766,2.0654166,-0.1965213,2.3263152,-0.6377597,0.17199357,1.121387,-0.9498681,5.395318,7.5464687,2.821148,2.8899136,8.865031,4.176839,4.07523,1.2948292,-0.31361112,1.5195935,9.790123,11.152776,5.3655033,13.761499,-3.239882,3.9343877,5.181344,1.533419,1.6762037,-3.7053578,-4.035244,5.7103844,1.8901281,3.6616485,0.5839546,5.7031584,1.878914,1.5850925,0.40990606,2.1761303,-0.33115852,0.17199357,0.71462965,-0.5571804,5.3837233,7.465805,2.8290563,2.6615877,8.858992,4.239302,3.7139704,1.4155376,-0.31361112,1.4562613,9.880595,11.152776,5.2030983,13.347266,-3.1924188,3.9343877,5.1818686,1.5331644,1.6762037,-3.7053578,-3.8067293,5.774128,0.36521873,2.0239837,2.3746676,0.69765097,11.358851,23.719946,3.756611,10.671281,2.5086067,0.35555556,0.5,0.36632496,1.2174118,0.327,0.7884506,0.41949746,0.6931502,1.2686971,0.8668362
